,demographics_key,dissemination_area,population,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
238,201135020093,35020093,800,43.5,305,2.6,43179.0,100.0,0.0,2011
239,201135020094,35020094,505,44.5,210,2.4,31232.0,100.0,0.0,2011
240,201135020095,35020095,478,50.6,220,2.2,29600.0,100.0,0.0,2011
241,201135020096,35020096,618,53.8,275,2.2,41152.0,100.0,0.0,2011
242,201135020097,35020097,454,42.4,160,2.8,31808.0,100.0,0.0,2011
243,201135020098,35020098,409,50.4,185,2.2,33664.0,100.0,0.0,2011
244,201135020099,35020099,531,44.8,215,2.3,28864.0,100.0,0.0,2011
245,201135020100,35020100,525,51.7,240,2.0,32896.0,100.0,0.0,2011
246,201135020101,35020101,642,42.2,270,2.4,33472.0,100.0,0.0,2011
247,201135020102,35020102,721,46.2,310,2.3,34688.0,100.0,0.0,2011
248,201135020103,35020103,513,42.8,195,2.6,31680.0,100.0,0.0,2011
249,201135020104,35020104,770,41.1,325,2.3,31232.0,100.0,0.0,2011
250,201135020105,35020105,654,45.4,265,2.5,34816.0,100.0,0.0,2011
251,201135020106,35020106,752,45.9,275,2.5,36523.0,100.0,0.0,2011
252,201135020107,35020107,627,38.1,230,2.7,36608.0,100.0,0.0,2011
253,201135020108,35020108,1222,41.2,510,2.4,42766.0,99.59,0.41,2011
254,201135020109,35020109,1227,48.1,500,2.4,37952.0,99.59,0.41,2011
255,201135020110,35020110,1001,41.1,355,2.8,46272.0,99.5,0.5,2011
256,201135020111,35020111,789,36.2,275,2.9,39851.0,100.0,0.0,2011
257,201135020112,35020112,801,40.4,285,2.8,45952.0,100.0,0.0,2011
258,201135020113,35020113,564,39.8,195,2.9,43520.0,100.0,0.0,2011
259,201135020114,35020114,537,47.8,160,2.6,37632.0,100.0,0.0,2011
260,201135020115,35020115,465,36.6,165,2.8,38464.0,100.0,0.0,2011
261,201135020116,35020116,823,40.1,290,2.8,49109.0,100.0,0.0,2011
262,201135020117,35020117,666,38.2,235,2.8,43819.0,100.0,0.0,2011
263,201135020118,35020118,557,36.1,180,3.1,49024.0,100.0,0.0,2011
264,201135020119,35020119,539,41.6,210,2.5,41856.0,100.0,0.0,2011
265,201135020120,35020120,693,37.0,245,2.8,47445.0,100.0,0.0,2011
266,201135020121,35020121,801,41.8,275,2.7,47168.0,100.0,0.0,2011
267,201135020122,35020122,760,38.8,270,2.8,48896.0,100.0,0.0,2011
268,201135020123,35020123,612,44.9,230,2.4,41003.0,100.0,0.0,2011
269,201135020124,35020124,608,37.2,210,2.8,44544.0,100.0,0.0,2011
270,201135020125,35020125,491,38.2,185,2.8,40107.0,100.0,0.0,2011
271,201135020126,35020126,554,42.1,185,2.8,38016.0,100.0,0.0,2011
272,201135020127,35020127,603,45.4,215,2.6,39040.0,100.0,0.0,2011
273,201135020128,35020128,599,39.7,230,2.6,33877.0,100.0,0.0,2011
274,201135020129,35020129,533,35.6,195,2.7,38176.0,100.0,0.0,2011
275,201135020130,35020130,639,36.6,225,2.8,42560.0,100.0,0.0,2011
276,201135020131,35020131,602,53.0,255,2.0,37197.0,100.0,0.0,2011
277,201135020132,35020132,582,39.6,250,2.3,38528.0,100.0,0.0,2011
278,201135020133,35020133,738,39.7,245,2.9,48597.0,100.0,0.0,2011
279,201135020134,35020134,534,38.1,255,2.1,29728.0,100.0,0.0,2011
280,201135020135,35020135,1170,40.8,425,2.7,46976.0,100.0,0.0,2011
281,201135020136,35020136,674,40.1,240,2.8,37723.0,99.25,0.75,2011
282,201135020137,35020137,450,42.6,180,2.4,40896.0,100.0,0.0,2011
283,201135020138,35020138,655,39.6,235,2.8,40661.0,100.0,0.0,2011
284,201135020139,35020139,616,45.8,180,2.8,44032.0,100.0,0.0,2011
285,201135020140,35020140,517,39.1,185,2.8,43328.0,100.0,0.0,2011
286,201135020141,35020141,1375,35.4,500,2.7,50752.0,100.0,0.0,2011
287,201135020142,35020142,1379,34.6,490,2.7,51136.0,100.0,0.0,2011
288,201135020143,35020143,534,46.1,215,2.5,43648.0,100.0,0.0,2011
289,201135020144,35020144,774,36.5,270,2.9,50219.0,100.0,0.0,2011
290,201135020145,35020145,451,38.8,160,2.8,45312.0,100.0,0.0,2011
291,201135020146,35020146,801,35.1,280,2.9,49024.0,100.0,0.0,2011
292,201135020147,35020147,524,40.4,175,3.0,45760.0,100.0,0.0,2011
293,201135020148,35020148,453,42.2,170,2.3,32576.0,100.0,0.0,2011
294,201135020150,35020150,770,48.9,305,2.2,44075.0,100.0,0.0,2011
295,201135020151,35020151,710,39.2,285,2.5,43392.0,100.0,0.0,2011
296,201135020152,35020152,460,40.7,175,2.6,42112.0,100.0,0.0,2011
297,201135020153,35020153,547,40.1,180,3.1,45696.0,100.0,0.0,2011
298,201135020154,35020154,577,40.5,195,2.9,46464.0,99.13,0.87,2011
299,201135020155,35020155,674,43.4,245,2.7,50517.0,100.0,0.0,2011
300,201135020156,35020156,469,37.8,145,3.2,54144.0,100.0,0.0,2011
301,201135020157,35020157,575,41.4,210,2.7,45568.0,100.0,0.0,2011
302,201135020158,35020158,575,38.6,230,2.5,43136.0,100.0,0.0,2011
303,201135020159,35020159,517,41.3,170,3.0,53419.0,100.0,0.0,2011
304,201135020160,35020160,616,37.5,205,3.0,54912.0,100.0,0.0,2011
305,201135020161,35020161,839,38.6,265,3.1,54400.0,100.0,0.0,2011
306,201135020162,35020162,574,40.8,195,2.9,46976.0,100.0,0.0,2011
307,201135020163,35020163,544,41.0,180,2.9,39744.0,100.0,0.0,2011
308,201135020164,35020164,416,43.8,145,3.0,47296.0,100.0,0.0,2011
309,201135020165,35020165,576,40.0,195,2.8,43477.0,100.0,0.0,2011
310,201135020166,35020166,556,42.5,205,2.7,44416.0,100.0,0.0,2011
311,201135020167,35020167,489,36.2,180,2.7,43605.0,100.0,0.0,2011
312,201135020168,35020168,604,35.7,205,2.9,47616.0,100.0,0.0,2011
313,201135020169,35020169,502,39.8,170,2.9,39211.0,100.0,0.0,2011
314,201135020170,35020170,550,43.9,235,2.3,34816.0,100.0,0.0,2011
315,201135020171,35020171,484,41.5,180,2.5,34496.0,100.0,0.0,2011
316,201135020172,35020172,524,39.6,205,2.6,27669.0,99.04,0.96,2011
317,201135020173,35020173,560,42.0,210,2.7,29291.0,99.11,0.89,2011
318,201135020174,35020174,518,45.8,210,2.5,31296.0,100.0,0.0,2011
319,201135020175,35020175,709,46.1,280,2.5,37760.0,100.0,0.0,2011
320,201135020176,35020176,597,48.1,230,2.3,33323.0,100.0,0.0,2011
321,201135020177,35020177,378,47.4,180,1.9,30976.0,100.0,0.0,2011
322,201135020178,35020178,424,56.1,215,2.0,28416.0,100.0,0.0,2011
323,201135020179,35020179,459,44.8,205,2.2,33152.0,100.0,0.0,2011
324,201135020180,35020180,497,50.1,200,2.5,35072.0,98.99,1.01,2011
325,201135020181,35020181,501,46.7,185,2.6,32608.0,100.0,0.0,2011
326,201135020182,35020182,644,48.5,255,2.5,33856.0,100.0,0.0,2011
327,201135020183,35020183,759,64.4,415,1.6,26880.0,100.0,0.0,2011
328,201135020184,35020184,560,62.3,245,1.7,20928.0,100.0,0.0,2011
329,201135020185,35020185,570,29.8,210,2.7,22432.0,100.0,0.0,2011
330,201135020186,35020186,744,48.2,385,1.9,22608.0,100.0,0.0,2011
331,201135020187,35020187,484,48.7,280,1.7,17672.0,100.0,0.0,2011
332,201135020188,35020188,614,48.3,260,2.4,31616.0,99.18,0.82,2011
333,201135020189,35020189,650,50.6,340,1.8,20213.0,99.23,0.77,2011
334,201135020190,35020190,583,48.5,305,1.8,20416.0,100.0,0.0,2011
335,201135020191,35020191,585,47.2,265,2.2,27136.0,100.0,0.0,2011
336,201135020192,35020192,642,43.3,265,2.3,25824.0,100.0,0.0,2011
337,201135020193,35020193,557,55.0,270,2.1,34368.0,100.0,0.0,2011
338,201135020194,35020194,569,54.2,245,2.4,33952.0,100.0,0.0,2011
339,201135020195,35020195,645,49.4,275,2.4,37568.0,100.0,0.0,2011
340,201135020196,35020196,664,43.0,280,2.4,31360.0,100.0,0.0,2011
341,201135020197,35020197,402,40.1,160,2.6,32128.0,100.0,0.0,2011
342,201135020198,35020198,863,48.0,360,2.4,35285.0,100.0,0.0,2011
343,201135020199,35020199,545,47.5,220,2.5,32576.0,100.0,0.0,2011
344,201135020200,35020200,532,45.7,215,2.4,29536.0,100.0,0.0,2011
345,201135020201,35020201,503,50.3,165,2.4,31968.0,100.0,0.0,2011
346,201135020202,35020202,490,46.7,200,2.4,24896.0,100.0,0.0,2011
347,201135020203,35020203,728,53.1,330,1.8,24896.0,100.0,0.0,2011
348,201135020204,35020204,550,46.0,245,2.3,28672.0,99.09,0.91,2011
